service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2021_03_22-DX-MVS-Weekday-01,1,1,1,1,1,0,0,20210322,20210604
2021_03_22-SA-MVS-Saturday-01,0,0,0,0,0,1,0,20210327,20210605
2021_03_22-SU-MVS-Sunday-01,0,0,0,0,0,0,1,20210328,20210815
2021_03_22-DX-MVS-Weekday-03,1,1,1,1,1,0,0,20210402,20210528
2021_03_22-SU-MVSs-Sunday-02,0,0,0,0,0,0,1,20210509,20210829
2021_03_22-DX-MVS-Weekday-02,1,1,1,1,1,0,0,20210607,20210825
2021_03_22-DX-MVS-Weekday-05,1,1,1,1,1,0,0,20210608,20210827
2021_03_22-SA-MVS-Saturday-02,0,0,0,0,0,1,0,20210612,20210828
2021_03_22-DX19-Weekday-01,1,1,1,1,1,0,0,20210322,20210827
2021_03_22-DX20-Weekday-01,1,1,1,1,1,0,0,20210322,20210827
2021_03_22-SA19-Saturday-02,0,0,0,0,0,1,0,20210327,20210828
2021_03_22-SA20-Saturday-02,0,0,0,0,0,1,0,20210327,20210828
2021_03_22-SU19-Sunday-01,0,0,0,0,0,0,1,20210328,20210829
2021_03_22-SU20-Sunday-01,0,0,0,0,0,0,1,20210328,20210829
