service_id,date,exception_type
2021_03_22-DX-MVS-Weekday-01,20210402,2
2021_03_22-DX-MVS-Weekday-01,20210405,2
2021_03_22-DX-MVS-Weekday-01,20210406,2
2021_03_22-DX-MVS-Weekday-01,20210415,2
2021_03_22-DX-MVS-Weekday-01,20210416,2
2021_03_22-DX-MVS-Weekday-01,20210419,2
2021_03_22-DX-MVS-Weekday-01,20210420,2
2021_03_22-DX-MVS-Weekday-01,20210430,2
2021_03_22-DX-MVS-Weekday-01,20210503,2
2021_03_22-DX-MVS-Weekday-01,20210504,2
2021_03_22-DX-MVS-Weekday-01,20210505,2
2021_03_22-DX-MVS-Weekday-01,20210507,2
2021_03_22-DX-MVS-Weekday-01,20210518,2
2021_03_22-DX-MVS-Weekday-01,20210519,2
2021_03_22-DX-MVS-Weekday-01,20210524,2
2021_03_22-DX-MVS-Weekday-01,20210525,2
2021_03_22-DX-MVS-Weekday-01,20210527,2
2021_03_22-DX-MVS-Weekday-01,20210528,2
2021_03_22-DX-MVS-Weekday-01,20210531,2
2021_03_22-SU-MVS-Sunday-01,20210509,2
2021_03_22-SU-MVS-Sunday-01,20210523,2
2021_03_22-SU-MVS-Sunday-01,20210627,2
2021_03_22-SU-MVS-Sunday-01,20210711,2
2021_03_22-SU-MVS-Sunday-01,20210725,2
2021_03_22-SU-MVS-Sunday-01,20210808,2
2021_03_22-SU-MVS-Sunday-01,20210531,1
2021_03_22-DX-MVS-Weekday-03,20210407,2
2021_03_22-DX-MVS-Weekday-03,20210408,2
2021_03_22-DX-MVS-Weekday-03,20210409,2
2021_03_22-DX-MVS-Weekday-03,20210412,2
2021_03_22-DX-MVS-Weekday-03,20210413,2
2021_03_22-DX-MVS-Weekday-03,20210414,2
2021_03_22-DX-MVS-Weekday-03,20210421,2
2021_03_22-DX-MVS-Weekday-03,20210422,2
2021_03_22-DX-MVS-Weekday-03,20210423,2
2021_03_22-DX-MVS-Weekday-03,20210426,2
2021_03_22-DX-MVS-Weekday-03,20210427,2
2021_03_22-DX-MVS-Weekday-03,20210428,2
2021_03_22-DX-MVS-Weekday-03,20210429,2
2021_03_22-DX-MVS-Weekday-03,20210506,2
2021_03_22-DX-MVS-Weekday-03,20210510,2
2021_03_22-DX-MVS-Weekday-03,20210511,2
2021_03_22-DX-MVS-Weekday-03,20210512,2
2021_03_22-DX-MVS-Weekday-03,20210513,2
2021_03_22-DX-MVS-Weekday-03,20210514,2
2021_03_22-DX-MVS-Weekday-03,20210517,2
2021_03_22-DX-MVS-Weekday-03,20210520,2
2021_03_22-DX-MVS-Weekday-03,20210521,2
2021_03_22-DX-MVS-Weekday-03,20210526,2
2021_03_22-SU-MVSs-Sunday-02,20210516,2
2021_03_22-SU-MVSs-Sunday-02,20210530,2
2021_03_22-SU-MVSs-Sunday-02,20210606,2
2021_03_22-SU-MVSs-Sunday-02,20210613,2
2021_03_22-SU-MVSs-Sunday-02,20210620,2
2021_03_22-SU-MVSs-Sunday-02,20210704,2
2021_03_22-SU-MVSs-Sunday-02,20210718,2
2021_03_22-SU-MVSs-Sunday-02,20210801,2
2021_03_22-SU-MVSs-Sunday-02,20210815,2
2021_03_22-DX-MVS-Weekday-02,20210608,2
2021_03_22-DX-MVS-Weekday-02,20210610,2
2021_03_22-DX-MVS-Weekday-02,20210611,2
2021_03_22-DX-MVS-Weekday-02,20210614,2
2021_03_22-DX-MVS-Weekday-02,20210615,2
2021_03_22-DX-MVS-Weekday-02,20210629,2
2021_03_22-DX-MVS-Weekday-02,20210630,2
2021_03_22-DX-MVS-Weekday-02,20210702,2
2021_03_22-DX-MVS-Weekday-02,20210716,2
2021_03_22-DX-MVS-Weekday-02,20210719,2
2021_03_22-DX-MVS-Weekday-02,20210803,2
2021_03_22-DX-MVS-Weekday-02,20210806,2
2021_03_22-DX-MVS-Weekday-02,20210820,2
2021_03_22-DX-MVS-Weekday-02,20210823,2
2021_03_22-DX-MVS-Weekday-05,20210609,2
2021_03_22-DX-MVS-Weekday-05,20210616,2
2021_03_22-DX-MVS-Weekday-05,20210617,2
2021_03_22-DX-MVS-Weekday-05,20210618,2
2021_03_22-DX-MVS-Weekday-05,20210621,2
2021_03_22-DX-MVS-Weekday-05,20210622,2
2021_03_22-DX-MVS-Weekday-05,20210623,2
2021_03_22-DX-MVS-Weekday-05,20210624,2
2021_03_22-DX-MVS-Weekday-05,20210625,2
2021_03_22-DX-MVS-Weekday-05,20210628,2
2021_03_22-DX-MVS-Weekday-05,20210701,2
2021_03_22-DX-MVS-Weekday-05,20210705,2
