trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
910746,04:53:00,04:53:00,CONC,0,,,0.0
910746,04:58:00,04:58:00,PHIL,2,,,21436.71
910746,05:01:00,05:02:00,WCRK,3,,,30474.73
910746,05:06:00,05:07:00,LAFY,4,,,48744.12
910746,05:11:00,05:12:00,ORIN,5,,,68594.66
910746,05:17:00,05:18:00,ROCK,6,,,91770.8
910746,05:21:00,05:22:00,MCAR,7,,,100072.06
910746,05:25:00,05:26:00,19TH,8,,,108085.34
910746,05:27:00,05:28:00,12TH,9,,,109953.37
910746,05:32:00,05:32:00,WOAK,10,,,118317.41
910746,05:39:00,05:39:00,EMBR,11,,,149276.63
910746,05:41:00,05:41:00,MONT,12,,,151130.54
910746,05:42:00,05:43:00,POWL,13,,,153480.33
910746,05:44:00,05:44:00,CIVC,14,,,156146.15
910746,05:46:00,05:47:00,16TH,15,,,162038.55
910746,05:48:00,05:49:00,24TH,16,,,166696.58
910746,05:51:00,05:51:00,GLEN,17,,,175367.35
910746,05:53:00,05:54:00,BALB,18,,,181460.01
910746,05:58:00,05:58:00,DALY,19,,,190937.4
910746,06:02:00,06:02:00,COLM,20,,,199358.71
910746,06:05:00,06:05:00,SSAN,21,,,209183.51
910746,06:08:00,06:09:00,SBRN,22,,,222029.79
910746,06:13:00,06:13:00,SFIA,23,,,233829.18
910786,04:54:00,04:55:00,DALY,0,,,0.0
910786,04:58:00,04:58:00,BALB,1,,,9477.39
910786,05:00:00,05:01:00,GLEN,2,,,15570.05
910786,05:03:00,05:03:00,24TH,3,,,24240.82
910786,05:05:00,05:05:00,16TH,4,,,28898.85
910786,05:07:00,05:08:00,CIVC,5,,,34791.25
910786,05:09:00,05:10:00,POWL,6,,,37457.07
910786,05:11:00,05:11:00,MONT,7,,,39806.86
910786,05:12:00,05:13:00,EMBR,8,,,41660.77
910786,05:19:00,05:20:00,WOAK,9,,,72619.99
910786,05:23:00,05:24:00,12TH,10,,,80984.03
910786,05:25:00,05:26:00,19TH,11,,,141159.54
910786,05:29:00,05:29:00,MCAR,12,,,149172.82
910786,05:31:00,05:32:00,ROCK,13,,,157474.08
910786,05:37:00,05:37:00,ORIN,14,,,180650.22
