route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2021_03_22-DX-MVS-Weekday-01,911199,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911162,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911200,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911163,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911201,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911164,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911225,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911165,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911226,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911166,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911227,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911167,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911224,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911168,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911228,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911197,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911202,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911195,South Hayward,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911203,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911198,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911204,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911196,South Hayward,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911205,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911194,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911206,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911169,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911207,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911170,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911208,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911171,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911223,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911172,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911210,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911173,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911209,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911174,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911211,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911175,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911212,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911190,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911213,Daly City,1,,05_shp,,1,1
6,2021_03_22-DX-MVS-Weekday-01,911191,Berryessa/North San Jose,0,,06_shp,,1,1
5,2021_03_22-DX-MVS-Weekday-01,911214,Daly City,1,,05_shp,,1,1
